date,team1,team2,winner,,,,
05-10-2023,England,New Zealand,New Zealand,,,,
06-10-2023,Pakistan,Netherlands,Pakistan,,,,
07-10-2023,Afghanistan,Bangladesh,Bangladesh,,,,
07-10-2023,South Africa,Sri Lanka,South Africa,,,,
08-10-2023,Australia,India,India,,,,
09-10-2023,New Zealand,Netherlands,New Zealand,,,,
10-10-2023,England,Bangladesh,England,,,,
10-10-2023,Sri Lanka,Pakistan,Pakistan,,,,
11-10-2023,Afghanistan,India,India,,,,
12-10-2023,South Africa,Australia,South Africa,,,,
13-10-2023,Bangladesh,New Zealand,New Zealand,,,,
14-10-2023,Pakistan,India,India,,,,
15-10-2023,Afghanistan,England,Afghanistan,,,,
16-10-2023,Sri Lanka,Australia,Australia,,,,
17-10-2023,Netherlands,South Africa,Netherlands,,,,
18-10-2023,New Zealand,Afghanistan,New Zealand,,,,
19-10-2023,Bangladesh,India,India,,,,
20-10-2023,Australia,Pakistan,Australia,,,,
21-10-2023,Netherlands,Sri Lanka,Sri Lanka,,,,
21-10-2023,South Africa,England,South Africa,,,,
22-10-2023,New Zealand,India,India,,,,
23-10-2023,Pakistan,Afghanistan,Afghanistan,,,,
24-10-2023,South Africa,Bangladesh,South Africa,,,,
25-10-2023,Australia,Netherlands,Australia,,,,
26-10-2023,England,Sri Lanka,Sri Lanka,,,,
27-10-2023,Pakistan,South Africa,South Africa,,,,
28-10-2023,Australia,New Zealand,Australia,,,,
28-10-2023,Netherlands,Bangladesh,Netherlands,,,,
29-10-2023,India,England,India,,,,
30-10-2023,Sri Lanka,Afghanistan,Afghanistan,,,,
31-10-2023,Bangladesh,Pakistan,Pakistan,,,,
01-11-2023,South Africa,New Zealand,South Africa,,,,
02-11-2023,India,Sri Lanka,India,,,,
03-11-2023,Afghanistan,Netherlands,Afghanistan,,,,
04-11-2023,New Zealand,Pakistan,Pakistan,,,,
04-11-2023,Australia,England,Australia,,,,
05-11-2023,India,South Africa,India,,,,
06-11-2023,Bangladesh,Sri Lanka,Bangladesh,,,,
07-11-2023,Afghanistan,Australia,Australia,,,,
08-11-2023,England,Netherlands,England,,,,
09-11-2023,New Zealand,Sri Lanka,New Zealand,,,,
10-11-2023,Afghanistan,South Africa,South Africa,,,,
